,code,Detailed List Numbers,Cause
998,J26,,Diseases of the respiratory system
999,J27,,Diseases of the respiratory system
1000,J28,,Diseases of the respiratory system
1001,J29,,Diseases of the respiratory system
1002,J30,,Remainder of diseases of the respiratory system
1003,J31,,Remainder of diseases of the respiratory system
1004,J32,,Remainder of diseases of the respiratory system
1005,J33,,Remainder of diseases of the respiratory system
1006,J34,,Remainder of diseases of the respiratory system
1007,J35,,Remainder of diseases of the respiratory system
1008,J36,,Remainder of diseases of the respiratory system
1009,J37,,Remainder of diseases of the respiratory system
1010,J38,,Remainder of diseases of the respiratory system
1011,J39,,Remainder of diseases of the respiratory system
1012,J40,,Chronic lower respiratory diseases
1013,J41,,Chronic lower respiratory diseases
1014,J42,,Chronic lower respiratory diseases
1015,J43,,Chronic lower respiratory diseases
1016,J44,,Chronic lower respiratory diseases
1017,J45,,Chronic lower respiratory diseases
1018,J46,,Chronic lower respiratory diseases
1019,J47,,Chronic lower respiratory diseases
1020,J48,,Diseases of the respiratory system
1021,J49,,Diseases of the respiratory system
1022,J50,,Diseases of the respiratory system
1023,J51,,Diseases of the respiratory system
1024,J52,,Diseases of the respiratory system
1025,J53,,Diseases of the respiratory system
1026,J54,,Diseases of the respiratory system
1027,J55,,Diseases of the respiratory system
1028,J56,,Diseases of the respiratory system
1029,J57,,Diseases of the respiratory system
1030,J58,,Diseases of the respiratory system
1031,J59,,Diseases of the respiratory system
1032,J60,,Remainder of diseases of the respiratory system
1033,J61,,Remainder of diseases of the respiratory system
1034,J62,,Remainder of diseases of the respiratory system
1035,J63,,Remainder of diseases of the respiratory system
1036,J64,,Remainder of diseases of the respiratory system
1037,J65,,Remainder of diseases of the respiratory system
1038,J66,,Remainder of diseases of the respiratory system
1039,J67,,Remainder of diseases of the respiratory system
1040,J68,,Remainder of diseases of the respiratory system
1041,J69,,Remainder of diseases of the respiratory system
1042,J70,,Remainder of diseases of the respiratory system
1043,J71,,Remainder of diseases of the respiratory system
1044,J72,,Remainder of diseases of the respiratory system
1045,J73,,Remainder of diseases of the respiratory system
1046,J74,,Remainder of diseases of the respiratory system
1047,J75,,Remainder of diseases of the respiratory system
1048,J76,,Remainder of diseases of the respiratory system
1049,J77,,Remainder of diseases of the respiratory system
1050,J78,,Remainder of diseases of the respiratory system
1051,J79,,Remainder of diseases of the respiratory system
1052,J80,,Remainder of diseases of the respiratory system
1053,J81,,Remainder of diseases of the respiratory system
1054,J82,,Remainder of diseases of the respiratory system
1055,J83,,Remainder of diseases of the respiratory system
1056,J84,,Remainder of diseases of the respiratory system
1057,J85,,Remainder of diseases of the respiratory system
1058,J86,,Remainder of diseases of the respiratory system
1059,J87,,Remainder of diseases of the respiratory system
1060,J88,,Remainder of diseases of the respiratory system
1061,J89,,Remainder of diseases of the respiratory system
1062,J90,,Remainder of diseases of the respiratory system
1063,J91,,Remainder of diseases of the respiratory system
1064,J92,,Remainder of diseases of the respiratory system
1065,J93,,Remainder of diseases of the respiratory system
1066,J94,,Remainder of diseases of the respiratory system
1067,J95,,Remainder of diseases of the respiratory system
1068,J96,,Remainder of diseases of the respiratory system
1069,J97,,Remainder of diseases of the respiratory system
1070,J98,,Remainder of diseases of the respiratory system
1071,K00,,Remainder of diseases of the digestive system
1072,K01,,Remainder of diseases of the digestive system
1073,K02,,Remainder of diseases of the digestive system
1074,K03,,Remainder of diseases of the digestive system
1075,K04,,Remainder of diseases of the digestive system
1076,K05,,Remainder of diseases of the digestive system
1077,K06,,Remainder of diseases of the digestive system
1078,K07,,Remainder of diseases of the digestive system
1079,K08,,Remainder of diseases of the digestive system
1080,K09,,Remainder of diseases of the digestive system
1081,K10,,Remainder of diseases of the digestive system
1082,K11,,Remainder of diseases of the digestive system
1083,K12,,Remainder of diseases of the digestive system
1084,K13,,Remainder of diseases of the digestive system
1085,K14,,Remainder of diseases of the digestive system
1086,K15,,Remainder of diseases of the digestive system
1087,K16,,Remainder of diseases of the digestive system
1088,K17,,Remainder of diseases of the digestive system
1089,K18,,Remainder of diseases of the digestive system
1090,K19,,Remainder of diseases of the digestive system
1091,K20,,Remainder of diseases of the digestive system
1092,K21,,Remainder of diseases of the digestive system
1093,K22,,Remainder of diseases of the digestive system
1094,K23,,Diseases of the digestive system
1095,K24,,Diseases of the digestive system
1096,K25,,Gastric and duodenal ulcer
1097,K26,,Gastric and duodenal ulcer
1098,K27,,Gastric and duodenal ulcer
1099,K28,,Remainder of diseases of the digestive system
1100,K29,,Remainder of diseases of the digestive system
1101,K30,,Remainder of diseases of the digestive system
1102,K31,,Remainder of diseases of the digestive system
1103,K32,,Remainder of diseases of the digestive system
1104,K33,,Remainder of diseases of the digestive system
1105,K34,,Remainder of diseases of the digestive system
1106,K35,,Remainder of diseases of the digestive system
1107,K36,,Remainder of diseases of the digestive system
1108,K37,,Remainder of diseases of the digestive system
1109,K38,,Remainder of diseases of the digestive system
1110,K39,,Remainder of diseases of the digestive system
1111,K40,,Remainder of diseases of the digestive system
1112,K41,,Remainder of diseases of the digestive system
1113,K42,,Remainder of diseases of the digestive system
1114,K43,,Remainder of diseases of the digestive system
1115,K44,,Remainder of diseases of the digestive system
1116,K45,,Remainder of diseases of the digestive system
1117,K46,,Remainder of diseases of the digestive system
1118,K47,,Remainder of diseases of the digestive system
1119,K48,,Remainder of diseases of the digestive system
1120,K49,,Remainder of diseases of the digestive system
1121,K50,,Remainder of diseases of the digestive system
1122,K51,,Remainder of diseases of the digestive system
1123,K52,,Remainder of diseases of the digestive system
1124,K53,,Remainder of diseases of the digestive system
1125,K54,,Remainder of diseases of the digestive system
1126,K55,,Remainder of diseases of the digestive system
1127,K56,,Remainder of diseases of the digestive system
1128,K57,,Remainder of diseases of the digestive system
1129,K58,,Remainder of diseases of the digestive system
1130,K59,,Remainder of diseases of the digestive system
1131,K60,,Remainder of diseases of the digestive system
1132,K61,,Remainder of diseases of the digestive system
1133,K62,,Remainder of diseases of the digestive system
1134,K63,,Remainder of diseases of the digestive system
1135,K64,,Remainder of diseases of the digestive system
1136,K65,,Remainder of diseases of the digestive system
1137,K66,,Remainder of diseases of the digestive system
1138,K67,,Diseases of the digestive system
1139,K68,,Diseases of the digestive system
1140,K69,,Diseases of the digestive system
1141,K70,,Diseases of the liver
1142,K71,,Diseases of the liver
1143,K72,,Diseases of the liver
1144,K73,,Diseases of the liver
1145,K74,,Diseases of the liver
1146,K75,,Diseases of the liver
1147,K76,,Diseases of the liver
1148,K77,,Diseases of the digestive system
1149,K78,,Diseases of the digestive system
1150,K79,,Diseases of the digestive system
1151,K80,,Remainder of diseases of the digestive system
1152,K81,,Remainder of diseases of the digestive system
1153,K82,,Remainder of diseases of the digestive system
1154,K83,,Remainder of diseases of the digestive system
1155,K84,,Remainder of diseases of the digestive system
1156,K85,,Remainder of diseases of the digestive system
1157,K86,,Remainder of diseases of the digestive system
1158,K87,,Remainder of diseases of the digestive system
1159,K88,,Remainder of diseases of the digestive system
1160,K89,,Remainder of diseases of the digestive system
1161,K90,,Remainder of diseases of the digestive system
1162,K91,,Remainder of diseases of the digestive system
1163,K92,,Remainder of diseases of the digestive system
1164,L00,,Diseases of the skin and subcutaneous tissue
1165,L01,,Diseases of the skin and subcutaneous tissue
1166,L02,,Diseases of the skin and subcutaneous tissue
1167,L03,,Diseases of the skin and subcutaneous tissue
1168,L04,,Diseases of the skin and subcutaneous tissue
1169,L05,,Diseases of the skin and subcutaneous tissue
1170,L06,,Diseases of the skin and subcutaneous tissue
1171,L07,,Diseases of the skin and subcutaneous tissue
1172,L08,,Diseases of the skin and subcutaneous tissue
1173,L09,,Diseases of the skin and subcutaneous tissue
1174,L10,,Diseases of the skin and subcutaneous tissue
1175,L11,,Diseases of the skin and subcutaneous tissue
1176,L12,,Diseases of the skin and subcutaneous tissue
1177,L13,,Diseases of the skin and subcutaneous tissue
1178,L14,,Diseases of the skin and subcutaneous tissue
1179,L15,,Diseases of the skin and subcutaneous tissue
1180,L16,,Diseases of the skin and subcutaneous tissue
1181,L17,,Diseases of the skin and subcutaneous tissue
1182,L18,,Diseases of the skin and subcutaneous tissue
1183,L19,,Diseases of the skin and subcutaneous tissue
1184,L20,,Diseases of the skin and subcutaneous tissue
1185,L21,,Diseases of the skin and subcutaneous tissue
1186,L22,,Diseases of the skin and subcutaneous tissue
1187,L23,,Diseases of the skin and subcutaneous tissue
1188,L24,,Diseases of the skin and subcutaneous tissue
1189,L25,,Diseases of the skin and subcutaneous tissue
1190,L26,,Diseases of the skin and subcutaneous tissue
1191,L27,,Diseases of the skin and subcutaneous tissue
1192,L28,,Diseases of the skin and subcutaneous tissue
1193,L29,,Diseases of the skin and subcutaneous tissue
1194,L30,,Diseases of the skin and subcutaneous tissue
1195,L31,,Diseases of the skin and subcutaneous tissue
1196,L32,,Diseases of the skin and subcutaneous tissue
1197,L33,,Diseases of the skin and subcutaneous tissue
1198,L34,,Diseases of the skin and subcutaneous tissue
1199,L35,,Diseases of the skin and subcutaneous tissue
1200,L36,,Diseases of the skin and subcutaneous tissue
1201,L37,,Diseases of the skin and subcutaneous tissue
1202,L38,,Diseases of the skin and subcutaneous tissue
1203,L39,,Diseases of the skin and subcutaneous tissue
1204,L40,,Diseases of the skin and subcutaneous tissue
1205,L41,,Diseases of the skin and subcutaneous tissue
1206,L42,,Diseases of the skin and subcutaneous tissue
1207,L43,,Diseases of the skin and subcutaneous tissue
1208,L44,,Diseases of the skin and subcutaneous tissue
1209,L45,,Diseases of the skin and subcutaneous tissue
1210,L46,,Diseases of the skin and subcutaneous tissue
1211,L47,,Diseases of the skin and subcutaneous tissue
1212,L48,,Diseases of the skin and subcutaneous tissue
1213,L49,,Diseases of the skin and subcutaneous tissue
1214,L50,,Diseases of the skin and subcutaneous tissue
1215,L51,,Diseases of the skin and subcutaneous tissue
1216,L52,,Diseases of the skin and subcutaneous tissue
1217,L53,,Diseases of the skin and subcutaneous tissue
1218,L54,,Diseases of the skin and subcutaneous tissue
1219,L55,,Diseases of the skin and subcutaneous tissue
1220,L56,,Diseases of the skin and subcutaneous tissue
1221,L57,,Diseases of the skin and subcutaneous tissue
1222,L58,,Diseases of the skin and subcutaneous tissue
1223,L59,,Diseases of the skin and subcutaneous tissue
1224,L60,,Diseases of the skin and subcutaneous tissue
1225,L61,,Diseases of the skin and subcutaneous tissue
1226,L62,,Diseases of the skin and subcutaneous tissue
1227,L63,,Diseases of the skin and subcutaneous tissue
1228,L64,,Diseases of the skin and subcutaneous tissue
1229,L65,,Diseases of the skin and subcutaneous tissue
1230,L66,,Diseases of the skin and subcutaneous tissue
1231,L67,,Diseases of the skin and subcutaneous tissue
1232,L68,,Diseases of the skin and subcutaneous tissue
1233,L69,,Diseases of the skin and subcutaneous tissue
1234,L70,,Diseases of the skin and subcutaneous tissue
1235,L71,,Diseases of the skin and subcutaneous tissue
1236,L72,,Diseases of the skin and subcutaneous tissue
1237,L73,,Diseases of the skin and subcutaneous tissue
1238,L74,,Diseases of the skin and subcutaneous tissue
1239,L75,,Diseases of the skin and subcutaneous tissue
1240,L76,,Diseases of the skin and subcutaneous tissue
1241,L77,,Diseases of the skin and subcutaneous tissue
1242,L78,,Diseases of the skin and subcutaneous tissue
1243,L79,,Diseases of the skin and subcutaneous tissue
1244,L80,,Diseases of the skin and subcutaneous tissue
1245,L81,,Diseases of the skin and subcutaneous tissue
1246,L82,,Diseases of the skin and subcutaneous tissue
1247,L83,,Diseases of the skin and subcutaneous tissue
1248,L84,,Diseases of the skin and subcutaneous tissue
1249,L85,,Diseases of the skin and subcutaneous tissue
1250,L86,,Diseases of the skin and subcutaneous tissue
1251,L87,,Diseases of the skin and subcutaneous tissue
1252,L88,,Diseases of the skin and subcutaneous tissue
1253,L89,,Diseases of the skin and subcutaneous tissue
1254,L90,,Diseases of the skin and subcutaneous tissue
1255,L91,,Diseases of the skin and subcutaneous tissue
1256,L92,,Diseases of the skin and subcutaneous tissue
1257,L93,,Diseases of the skin and subcutaneous tissue
1258,L94,,Diseases of the skin and subcutaneous tissue
1259,L95,,Diseases of the skin and subcutaneous tissue
1260,L96,,Diseases of the skin and subcutaneous tissue
1261,L97,,Diseases of the skin and subcutaneous tissue
1262,L98,,Diseases of the skin and subcutaneous tissue
1263,M00,,Diseases of the musculoskeletal system and connective tissue
1264,M01,,Diseases of the musculoskeletal system and connective tissue
1265,M02,,Diseases of the musculoskeletal system and connective tissue
1266,M03,,Diseases of the musculoskeletal system and connective tissue
1267,M04,,Diseases of the musculoskeletal system and connective tissue
1268,M05,,Diseases of the musculoskeletal system and connective tissue
1269,M06,,Diseases of the musculoskeletal system and connective tissue
1270,M07,,Diseases of the musculoskeletal system and connective tissue
1271,M08,,Diseases of the musculoskeletal system and connective tissue
1272,M09,,Diseases of the musculoskeletal system and connective tissue
1273,M10,,Diseases of the musculoskeletal system and connective tissue
1274,M11,,Diseases of the musculoskeletal system and connective tissue
1275,M12,,Diseases of the musculoskeletal system and connective tissue
1276,M13,,Diseases of the musculoskeletal system and connective tissue
1277,M14,,Diseases of the musculoskeletal system and connective tissue
1278,M15,,Diseases of the musculoskeletal system and connective tissue
1279,M16,,Diseases of the musculoskeletal system and connective tissue
1280,M17,,Diseases of the musculoskeletal system and connective tissue
1281,M18,,Diseases of the musculoskeletal system and connective tissue
1282,M19,,Diseases of the musculoskeletal system and connective tissue
1283,M20,,Diseases of the musculoskeletal system and connective tissue
1284,M21,,Diseases of the musculoskeletal system and connective tissue
1285,M22,,Diseases of the musculoskeletal system and connective tissue
1286,M23,,Diseases of the musculoskeletal system and connective tissue
1287,M24,,Diseases of the musculoskeletal system and connective tissue
1288,M25,,Diseases of the musculoskeletal system and connective tissue
1289,M26,,Diseases of the musculoskeletal system and connective tissue
1290,M27,,Diseases of the musculoskeletal system and connective tissue
1291,M28,,Diseases of the musculoskeletal system and connective tissue
1292,M29,,Diseases of the musculoskeletal system and connective tissue
1293,M30,,Diseases of the musculoskeletal system and connective tissue
1294,M31,,Diseases of the musculoskeletal system and connective tissue
1295,M32,,Diseases of the musculoskeletal system and connective tissue
1296,M33,,Diseases of the musculoskeletal system and connective tissue
1297,M34,,Diseases of the musculoskeletal system and connective tissue
1298,M35,,Diseases of the musculoskeletal system and connective tissue
1299,M36,,Diseases of the musculoskeletal system and connective tissue
1300,M37,,Diseases of the musculoskeletal system and connective tissue
1301,M38,,Diseases of the musculoskeletal system and connective tissue
1302,M39,,Diseases of the musculoskeletal system and connective tissue
1303,M40,,Diseases of the musculoskeletal system and connective tissue
1304,M41,,Diseases of the musculoskeletal system and connective tissue
1305,M42,,Diseases of the musculoskeletal system and connective tissue
1306,M43,,Diseases of the musculoskeletal system and connective tissue
1307,M44,,Diseases of the musculoskeletal system and connective tissue
1308,M45,,Diseases of the musculoskeletal system and connective tissue
1309,M46,,Diseases of the musculoskeletal system and connective tissue
1310,M47,,Diseases of the musculoskeletal system and connective tissue
1311,M48,,Diseases of the musculoskeletal system and connective tissue
1312,M49,,Diseases of the musculoskeletal system and connective tissue
1313,M50,,Diseases of the musculoskeletal system and connective tissue
1314,M51,,Diseases of the musculoskeletal system and connective tissue
1315,M52,,Diseases of the musculoskeletal system and connective tissue
1316,M53,,Diseases of the musculoskeletal system and connective tissue
1317,M54,,Diseases of the musculoskeletal system and connective tissue
1318,M55,,Diseases of the musculoskeletal system and connective tissue
1319,M56,,Diseases of the musculoskeletal system and connective tissue
1320,M57,,Diseases of the musculoskeletal system and connective tissue
1321,M58,,Diseases of the musculoskeletal system and connective tissue
1322,M59,,Diseases of the musculoskeletal system and connective tissue
1323,M60,,Diseases of the musculoskeletal system and connective tissue
1324,M61,,Diseases of the musculoskeletal system and connective tissue
1325,M62,,Diseases of the musculoskeletal system and connective tissue
1326,M63,,Diseases of the musculoskeletal system and connective tissue
1327,M64,,Diseases of the musculoskeletal system and connective tissue
1328,M65,,Diseases of the musculoskeletal system and connective tissue
1329,M66,,Diseases of the musculoskeletal system and connective tissue
1330,M67,,Diseases of the musculoskeletal system and connective tissue
1331,M68,,Diseases of the musculoskeletal system and connective tissue
1332,M69,,Diseases of the musculoskeletal system and connective tissue
1333,M70,,Diseases of the musculoskeletal system and connective tissue
1334,M71,,Diseases of the musculoskeletal system and connective tissue
1335,M72,,Diseases of the musculoskeletal system and connective tissue
1336,M73,,Diseases of the musculoskeletal system and connective tissue
1337,M74,,Diseases of the musculoskeletal system and connective tissue
1338,M75,,Diseases of the musculoskeletal system and connective tissue
1339,M76,,Diseases of the musculoskeletal system and connective tissue
1340,M77,,Diseases of the musculoskeletal system and connective tissue
1341,M78,,Diseases of the musculoskeletal system and connective tissue
1342,M79,,Diseases of the musculoskeletal system and connective tissue
1343,M80,,Diseases of the musculoskeletal system and connective tissue
1344,M81,,Diseases of the musculoskeletal system and connective tissue
1345,M82,,Diseases of the musculoskeletal system and connective tissue
1346,M83,,Diseases of the musculoskeletal system and connective tissue
1347,M84,,Diseases of the musculoskeletal system and connective tissue
1348,M85,,Diseases of the musculoskeletal system and connective tissue
1349,M86,,Diseases of the musculoskeletal system and connective tissue
1350,M87,,Diseases of the musculoskeletal system and connective tissue
1351,M88,,Diseases of the musculoskeletal system and connective tissue
1352,M89,,Diseases of the musculoskeletal system and connective tissue
1353,M90,,Diseases of the musculoskeletal system and connective tissue
1354,M91,,Diseases of the musculoskeletal system and connective tissue
1355,M92,,Diseases of the musculoskeletal system and connective tissue
1356,M93,,Diseases of the musculoskeletal system and connective tissue
1357,M94,,Diseases of the musculoskeletal system and connective tissue
1358,M95,,Diseases of the musculoskeletal system and connective tissue
1359,M96,,Diseases of the musculoskeletal system and connective tissue
1360,M97,,Diseases of the musculoskeletal system and connective tissue
1361,M98,,Diseases of the musculoskeletal system and connective tissue
1362,M99,,Diseases of the musculoskeletal system and connective tissue
1363,N00,,Glomerular and renal tubulo-interstitial diseases
1364,N01,,Glomerular and renal tubulo-interstitial diseases
1365,N02,,Glomerular and renal tubulo-interstitial diseases
1366,N03,,Glomerular and renal tubulo-interstitial diseases
1367,N04,,Glomerular and renal tubulo-interstitial diseases
1368,N05,,Glomerular and renal tubulo-interstitial diseases
1369,N06,,Glomerular and renal tubulo-interstitial diseases
1370,N07,,Glomerular and renal tubulo-interstitial diseases
1371,N08,,Glomerular and renal tubulo-interstitial diseases
1372,N09,,Glomerular and renal tubulo-interstitial diseases
1373,N10,,Glomerular and renal tubulo-interstitial diseases
1374,N11,,Glomerular and renal tubulo-interstitial diseases
1375,N12,,Glomerular and renal tubulo-interstitial diseases
1376,N13,,Glomerular and renal tubulo-interstitial diseases
1377,N14,,Glomerular and renal tubulo-interstitial diseases
1378,N15,,Glomerular and renal tubulo-interstitial diseases
1379,N16,,Diseases of the genitourinary system
1380,N17,,Remainder of diseases of the genitourinary system
1381,N18,,Remainder of diseases of the genitourinary system
1382,N19,,Remainder of diseases of the genitourinary system
1383,N20,,Remainder of diseases of the genitourinary system
1384,N21,,Remainder of diseases of the genitourinary system
1385,N22,,Remainder of diseases of the genitourinary system
1386,N23,,Remainder of diseases of the genitourinary system
1387,N24,,Remainder of diseases of the genitourinary system
1388,N25,,Remainder of diseases of the genitourinary system
1389,N26,,Remainder of diseases of the genitourinary system
1390,N27,,Remainder of diseases of the genitourinary system
1391,N28,,Remainder of diseases of the genitourinary system
1392,N29,,Remainder of diseases of the genitourinary system
1393,N30,,Remainder of diseases of the genitourinary system
1394,N31,,Remainder of diseases of the genitourinary system
1395,N32,,Remainder of diseases of the genitourinary system
1396,N33,,Remainder of diseases of the genitourinary system
1397,N34,,Remainder of diseases of the genitourinary system
1398,N35,,Remainder of diseases of the genitourinary system
1399,N36,,Remainder of diseases of the genitourinary system
1400,N37,,Remainder of diseases of the genitourinary system
1401,N38,,Remainder of diseases of the genitourinary system
1402,N39,,Remainder of diseases of the genitourinary system
1403,N40,,Remainder of diseases of the genitourinary system
1404,N41,,Remainder of diseases of the genitourinary system
1405,N42,,Remainder of diseases of the genitourinary system
1406,N43,,Remainder of diseases of the genitourinary system
1407,N44,,Remainder of diseases of the genitourinary system
1408,N45,,Remainder of diseases of the genitourinary system
1409,N46,,Remainder of diseases of the genitourinary system
1410,N47,,Remainder of diseases of the genitourinary system
1411,N48,,Remainder of diseases of the genitourinary system
1412,N49,,Remainder of diseases of the genitourinary system
1413,N50,,Remainder of diseases of the genitourinary system
1414,N51,,Remainder of diseases of the genitourinary system
1415,N52,,Remainder of diseases of the genitourinary system
1416,N53,,Remainder of diseases of the genitourinary system
1417,N54,,Remainder of diseases of the genitourinary system
1418,N55,,Remainder of diseases of the genitourinary system
1419,N56,,Remainder of diseases of the genitourinary system
1420,N57,,Remainder of diseases of the genitourinary system
1421,N58,,Remainder of diseases of the genitourinary system
1422,N59,,Remainder of diseases of the genitourinary system
1423,N60,,Remainder of diseases of the genitourinary system
1424,N61,,Remainder of diseases of the genitourinary system
1425,N62,,Remainder of diseases of the genitourinary system
1426,N63,,Remainder of diseases of the genitourinary system
1427,N64,,Remainder of diseases of the genitourinary system
1428,N65,,Remainder of diseases of the genitourinary system
1429,N66,,Remainder of diseases of the genitourinary system
1430,N67,,Remainder of diseases of the genitourinary system
1431,N68,,Remainder of diseases of the genitourinary system
1432,N69,,Remainder of diseases of the genitourinary system
1433,N70,,Remainder of diseases of the genitourinary system
1434,N71,,Remainder of diseases of the genitourinary system
1435,N72,,Remainder of diseases of the genitourinary system
1436,N73,,Remainder of diseases of the genitourinary system
1437,N74,,Remainder of diseases of the genitourinary system
1438,N75,,Remainder of diseases of the genitourinary system
1439,N76,,Remainder of diseases of the genitourinary system
1440,N77,,Remainder of diseases of the genitourinary system
1441,N78,,Remainder of diseases of the genitourinary system
1442,N79,,Remainder of diseases of the genitourinary system
1443,N80,,Remainder of diseases of the genitourinary system
1444,N81,,Remainder of diseases of the genitourinary system
1445,N82,,Remainder of diseases of the genitourinary system
1446,N83,,Remainder of diseases of the genitourinary system
1447,N84,,Remainder of diseases of the genitourinary system
1448,N85,,Remainder of diseases of the genitourinary system
1449,N86,,Remainder of diseases of the genitourinary system
1450,N87,,Remainder of diseases of the genitourinary system
1451,N88,,Remainder of diseases of the genitourinary system
1452,N89,,Remainder of diseases of the genitourinary system
1453,N90,,Remainder of diseases of the genitourinary system
1454,N91,,Remainder of diseases of the genitourinary system
1455,N92,,Remainder of diseases of the genitourinary system
1456,N93,,Remainder of diseases of the genitourinary system
1457,N94,,Remainder of diseases of the genitourinary system
1458,N95,,Remainder of diseases of the genitourinary system
1459,N96,,Remainder of diseases of the genitourinary system
1460,N97,,Remainder of diseases of the genitourinary system
1461,N98,,Remainder of diseases of the genitourinary system
1462,O00,,Pregnancy with abortive outcome
1463,O01,,Pregnancy with abortive outcome
1464,O02,,Pregnancy with abortive outcome
1465,O03,,Pregnancy with abortive outcome
1466,O04,,Pregnancy with abortive outcome
1467,O05,,Pregnancy with abortive outcome
1468,O06,,Pregnancy with abortive outcome
1469,O07,,Pregnancy with abortive outcome
1470,O08,,"Pregnancy, childbirth and the puerperium"
1471,O09,,"Pregnancy, childbirth and the puerperium"
1472,O10,,Other direct obstetric deaths
1473,O11,,Other direct obstetric deaths
1474,O12,,Other direct obstetric deaths
1475,O13,,Other direct obstetric deaths
1476,O14,,Other direct obstetric deaths
1477,O15,,Other direct obstetric deaths
1478,O16,,Other direct obstetric deaths
1479,O17,,Other direct obstetric deaths
1480,O18,,Other direct obstetric deaths
1481,O19,,Other direct obstetric deaths
1482,O20,,Other direct obstetric deaths
1483,O21,,Other direct obstetric deaths
1484,O22,,Other direct obstetric deaths
1485,O23,,Other direct obstetric deaths
1486,O24,,Other direct obstetric deaths
1487,O25,,Other direct obstetric deaths
1488,O26,,Other direct obstetric deaths
1489,O27,,Other direct obstetric deaths
1490,O28,,Other direct obstetric deaths
1491,O29,,Other direct obstetric deaths
1492,O30,,Other direct obstetric deaths
1493,O31,,Other direct obstetric deaths
1494,O32,,Other direct obstetric deaths
1495,O33,,Other direct obstetric deaths
1496,O34,,Other direct obstetric deaths
1497,O35,,Other direct obstetric deaths
1498,O36,,Other direct obstetric deaths
1499,O37,,Other direct obstetric deaths
1500,O38,,Other direct obstetric deaths
1501,O39,,Other direct obstetric deaths
1502,O40,,Other direct obstetric deaths
1503,O41,,Other direct obstetric deaths
1504,O42,,Other direct obstetric deaths
1505,O43,,Other direct obstetric deaths
1506,O44,,Other direct obstetric deaths
1507,O45,,Other direct obstetric deaths
1508,O46,,Other direct obstetric deaths
1509,O47,,Other direct obstetric deaths
1510,O48,,Other direct obstetric deaths
1511,O49,,Other direct obstetric deaths
1512,O50,,Other direct obstetric deaths
1513,O51,,Other direct obstetric deaths
1514,O52,,Other direct obstetric deaths
1515,O53,,Other direct obstetric deaths
1516,O54,,Other direct obstetric deaths
1517,O55,,Other direct obstetric deaths
1518,O56,,Other direct obstetric deaths
1519,O57,,Other direct obstetric deaths
1520,O58,,Other direct obstetric deaths
1521,O59,,Other direct obstetric deaths
1522,O60,,Other direct obstetric deaths
1523,O61,,Other direct obstetric deaths
1524,O62,,Other direct obstetric deaths
1525,O63,,Other direct obstetric deaths
1526,O64,,Other direct obstetric deaths
1527,O65,,Other direct obstetric deaths
1528,O66,,Other direct obstetric deaths
1529,O67,,Other direct obstetric deaths
1530,O68,,Other direct obstetric deaths
1531,O69,,Other direct obstetric deaths
1532,O70,,Other direct obstetric deaths
1533,O71,,Other direct obstetric deaths
1534,O72,,Other direct obstetric deaths
1535,O73,,Other direct obstetric deaths
1536,O74,,Other direct obstetric deaths
1537,O75,,Other direct obstetric deaths
1538,O76,,Other direct obstetric deaths
1539,O77,,Other direct obstetric deaths
1540,O78,,Other direct obstetric deaths
1541,O79,,Other direct obstetric deaths
1542,O80,,Other direct obstetric deaths
1543,O81,,Other direct obstetric deaths
1544,O82,,Other direct obstetric deaths
1545,O83,,Other direct obstetric deaths
1546,O84,,Other direct obstetric deaths
1547,O85,,Other direct obstetric deaths
1548,O86,,Other direct obstetric deaths
1549,O87,,Other direct obstetric deaths
1550,O88,,Other direct obstetric deaths
1551,O89,,Other direct obstetric deaths
1552,O90,,Other direct obstetric deaths
1553,O91,,Other direct obstetric deaths
1554,O92,,Other direct obstetric deaths
1555,O93,,"Pregnancy, childbirth and the puerperium"
1556,O94,,"Pregnancy, childbirth and the puerperium"
1557,O95,,"Remainder of pregnancy, childbirth and the puerperium"
1558,O96,,"Remainder of pregnancy, childbirth and the puerperium"
1559,O97,,"Remainder of pregnancy, childbirth and the puerperium"
1560,O98,,Indirect obstetric deaths
1561,O99,,Indirect obstetric deaths
1562,P00,,Certain conditions originating in the perinatal period
1563,P01,,Certain conditions originating in the perinatal period
1564,P02,,Certain conditions originating in the perinatal period
1565,P03,,Certain conditions originating in the perinatal period
1566,P04,,Certain conditions originating in the perinatal period
1567,P05,,Certain conditions originating in the perinatal period
1568,P06,,Certain conditions originating in the perinatal period
1569,P07,,Certain conditions originating in the perinatal period
1570,P08,,Certain conditions originating in the perinatal period
1571,P09,,Certain conditions originating in the perinatal period
1572,P10,,Certain conditions originating in the perinatal period
1573,P11,,Certain conditions originating in the perinatal period
1574,P12,,Certain conditions originating in the perinatal period
1575,P13,,Certain conditions originating in the perinatal period
1576,P14,,Certain conditions originating in the perinatal period
1577,P15,,Certain conditions originating in the perinatal period
1578,P16,,Certain conditions originating in the perinatal period
1579,P17,,Certain conditions originating in the perinatal period
1580,P18,,Certain conditions originating in the perinatal period
1581,P19,,Certain conditions originating in the perinatal period
1582,P20,,Certain conditions originating in the perinatal period
1583,P21,,Certain conditions originating in the perinatal period
1584,P22,,Certain conditions originating in the perinatal period
1585,P23,,Certain conditions originating in the perinatal period
1586,P24,,Certain conditions originating in the perinatal period
1587,P25,,Certain conditions originating in the perinatal period
1588,P26,,Certain conditions originating in the perinatal period
